fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
16385,-27.068232,0.999978,0.006297,-0.002292,0.000043
16447,-27.069157,0.999977,0.006333,-0.002262,0.000022
16488,-27.07021,0.999978,0.006294,-0.00223,0.000018
16549,-27.071299,0.999977,0.006357,-0.00232,0.000017
16611,-27.072115,0.999978,0.006289,-0.002304,0.000015
16672,-27.072369,0.999978,0.006277,-0.002296,0.000051
16714,-27.073084,0.999977,0.006342,-0.002306,0.000034
16776,-27.074095,0.999977,0.006357,-0.002376,0.000017
16837,-27.074869,0.999976,0.006372,-0.002568,0.00005
16878,-27.074144,0.999977,0.006344,-0.002556,0.00001
16939,-27.075405,0.999977,0.006349,-0.002534,0.000016
17001,-27.075827,0.999977,0.006332,-0.00256,0.000034
17063,-27.075556,0.999977,0.006317,-0.00257,0.000031
17104,-27.076262,0.999977,0.006322,-0.002567,0.000026
17165,-27.074825,0.999977,0.006297,-0.00265,0.000025
17227,-27.075882,0.999977,0.006274,-0.002629,0.000047
17268,-27.075527,0.999976,0.00634,-0.002658,0.000038
17330,-27.073376,0.999976,0.006368,-0.002602,0.000012
17392,-27.074427,0.999977,0.006349,-0.00259,0.000044
17432,-27.075504,0.999977,0.006349,-0.002603,0.000057
17494,-27.076229,0.999977,0.006245,-0.002648,-0.000014
17555,-27.078362,0.999977,0.006233,-0.002583,-0.000026
17596,-27.078745,0.999977,0.006243,-0.002592,0.000044
17658,-27.079447,0.999977,0.006243,-0.002555,0.000025
17720,-27.081224,0.999977,0.006241,-0.002564,0.000018
17760,-27.081238,0.999977,0.006235,-0.00257,0.000033
17822,-27.082636,0.999977,0.006222,-0.002565,0.000027
17884,-27.083706,0.999977,0.006221,-0.002566,0.000027
17925,-27.08441,0.999978,0.006212,-0.002556,0.000027
17987,-27.086493,0.999977,0.00623,-0.00259,0.000004
18048,-27.086906,0.999977,0.006232,-0.002649,-0.000005
18089,-27.087919,0.999977,0.006178,-0.002637,0.000034
18151,-27.090343,0.999977,0.006223,-0.002688,0.000058
18212,-27.090462,0.999977,0.006227,-0.002661,0.000055
18253,-27.091433,0.999978,0.006132,-0.002548,0.000063
18315,-27.09214,0.99999,0.004007,-0.00206,0.000324
18376,-27.091465,0.999986,-0.004566,-0.002603,0.000284
18418,-27.092545,0.999743,-0.022676,-0.000142,0.000131
18479,-27.093243,0.999187,-0.039863,0.006097,-0.000024
18541,-27.092562,0.999109,-0.038617,0.01704,-0.000419
18582,-27.092373,0.998917,-0.029142,0.036266,0.00018
18644,-27.090351,0.998299,-0.022313,0.053867,0.000659
18705,-27.089859,0.997958,-0.032081,0.055205,0.001863
18746,-27.088791,0.997905,-0.045528,0.04591,0.00204
18808,-27.088203,0.997699,-0.045706,0.050028,0.001993
18869,-27.088388,0.997311,-0.034483,0.064651,0.00125
18911,-27.087637,0.996596,-0.017983,0.080453,0.000971
18972,-27.086628,0.995631,-0.00898,0.092946,0.000509
19013,-27.085327,0.995221,-0.009865,0.097144,0.00072
19075,-27.083384,0.995073,-0.0106,0.09857,0.000836
19136,-27.082167,0.995427,-0.008244,0.095164,0.000336
19178,-27.081711,0.9963,-0.016446,0.084354,0.000962
19240,-27.081144,0.997198,-0.03436,0.066405,0.002336
19301,-27.080406,0.997628,-0.051109,0.046055,0.002387
19362,-27.080667,0.997916,-0.056913,0.03038,0.001458
